Project,Model,CommentsIncluded,Prompting,Precision,Recall,F1 Score,tp,fp,tn,fn
atlasdb,artigenz,False,fewShot,0.006944444444444444,0.5,0.0136986301369863,1,143,250,1
autopsy,artigenz,False,fewShot,0.0,0.0,0.0,0,120,193,1
bazel,artigenz,False,fewShot,0.0027548209366391185,0.1,0.005361930294906166,1,362,570,9
bisq,artigenz,False,fewShot,0.0,0.0,0.0,0,87,189,1
boofcv,artigenz,False,fewShot,0.00425531914893617,1.0,0.00847457627118644,1,234,350,0
caffeine,artigenz,False,fewShot,0.07692307692307693,0.6666666666666666,0.13793103448275862,2,24,46,1
crate,artigenz,False,fewShot,0.003952569169960474,0.25,0.007782101167315175,1,252,600,3
dataverse,artigenz,False,fewShot,0.0,0.0,0.0,0,50,129,1
dbeaver,artigenz,False,fewShot,0.00946372239747634,0.6,0.018633540372670808,3,314,643,2
elasticsearch,artigenz,False,fewShot,0.03854389721627409,0.4,0.0703125,18,449,1009,27
gradle,artigenz,False,fewShot,0.009433962264150943,0.625,0.01858736059479554,5,525,1194,3
grpc-java,artigenz,False,fewShot,0.020833333333333332,0.2,0.03773584905660377,1,47,90,4
hapi-fhir,artigenz,False,fewShot,0.01818181818181818,0.5,0.03508771929824561,2,108,246,2
mica2,artigenz,False,fewShot,0.04878048780487805,0.25,0.08163265306122448,2,39,116,6
nextprot-api,artigenz,False,fewShot,0.041666666666666664,0.6666666666666666,0.0784313725490196,2,46,179,1
openl-tablets,artigenz,False,fewShot,0.0,0.0,0.0,0,156,485,2
openolat,artigenz,False,fewShot,0.006756756756756757,0.6,0.013363028953229399,3,441,957,2
opentripplanner,artigenz,False,fewShot,0.0,0.0,0.0,0,27,109,1
presto,artigenz,False,fewShot,0.0036363636363636364,1.0,0.007246376811594203,1,274,901,0
spongecommon,artigenz,False,fewShot,0.0,0.0,0.0,0,48,98,1
spring-boot,artigenz,False,fewShot,0.005076142131979695,0.5,0.010050251256281407,1,196,364,1
spring-framework,artigenz,False,fewShot,0.0035587188612099642,0.25,0.007017543859649123,1,280,660,3
spring-integration,artigenz,False,fewShot,0.0136986301369863,0.4,0.026490066225165563,2,144,268,3
stratosphere,artigenz,False,fewShot,0.0,0.0,0.0,0,49,118,2
structr,artigenz,False,fewShot,0.029197080291970802,0.4,0.05442176870748299,4,133,309,6
vert.x,artigenz,False,fewShot,0.04081632653061224,1.0,0.0784313725490196,2,47,80,0
vespa,artigenz,False,fewShot,0.0,0.0,0.0,0,348,762,1
webanno,artigenz,False,fewShot,0.0,0.0,0.0,0,21,128,1
worldgrower,artigenz,False,fewShot,0.01904761904761905,0.6666666666666666,0.037037037037037035,2,103,181,1
xchange,artigenz,False,fewShot,0.1134020618556701,0.3728813559322034,0.17391304347826086,22,172,642,37
xp,artigenz,False,fewShot,0.0,0.0,0.0,0,151,517,1
atlasdb,artigenz,False,zeroShot,0.014705882352941176,0.5,0.02857142857142857,1,67,326,1
autopsy,artigenz,False,zeroShot,0.0,0.0,0.0,0,42,271,1
bazel,artigenz,False,zeroShot,0.007936507936507936,0.1,0.014705882352941176,1,125,807,9
bisq,artigenz,False,zeroShot,0.0,0.0,0.0,0,43,233,1
boofcv,artigenz,False,zeroShot,0.0,0.0,0.0,0,82,502,1
caffeine,artigenz,False,zeroShot,0.1111111111111111,0.3333333333333333,0.16666666666666666,1,8,62,2
crate,artigenz,False,zeroShot,0.0,0.0,0.0,0,110,742,4
dataverse,artigenz,False,zeroShot,0.0,0.0,0.0,0,24,155,1
dbeaver,artigenz,False,zeroShot,0.0,0.0,0.0,0,142,815,5
elasticsearch,artigenz,False,zeroShot,0.04,0.17777777777777778,0.0653061224489796,8,192,1266,37
gradle,artigenz,False,zeroShot,0.013636363636363636,0.375,0.02631578947368421,3,217,1502,5
grpc-java,artigenz,False,zeroShot,0.041666666666666664,0.2,0.06896551724137931,1,23,114,4
hapi-fhir,artigenz,False,zeroShot,0.0,0.0,0.0,0,56,298,4
mica2,artigenz,False,zeroShot,0.07142857142857142,0.125,0.09090909090909091,1,13,142,7
nextprot-api,artigenz,False,zeroShot,0.0,0.0,0.0,0,35,190,3
openl-tablets,artigenz,False,zeroShot,0.011363636363636364,0.5,0.022222222222222223,1,87,554,1
openolat,artigenz,False,zeroShot,0.004347826086956522,0.2,0.00851063829787234,1,229,1169,4
opentripplanner,artigenz,False,zeroShot,0.0,0.0,0.0,0,25,111,1
presto,artigenz,False,zeroShot,0.0,0.0,0.0,0,181,994,1
spongecommon,artigenz,False,zeroShot,0.0,0.0,0.0,0,20,126,1
spring-boot,artigenz,False,zeroShot,0.0,0.0,0.0,0,93,467,2
spring-framework,artigenz,False,zeroShot,0.0,0.0,0.0,0,131,809,4
spring-integration,artigenz,False,zeroShot,0.017543859649122806,0.2,0.03225806451612903,1,56,356,4
stratosphere,artigenz,False,zeroShot,0.0,0.0,0.0,0,24,143,2
structr,artigenz,False,zeroShot,0.02666666666666667,0.2,0.047058823529411764,2,73,369,8
vert.x,artigenz,False,zeroShot,0.0,0.0,0.0,0,18,109,2
vespa,artigenz,False,zeroShot,0.0,0.0,0.0,0,175,935,1
webanno,artigenz,False,zeroShot,0.0,0.0,0.0,0,23,126,1
worldgrower,artigenz,False,zeroShot,0.023255813953488372,0.3333333333333333,0.043478260869565216,1,42,242,2
xchange,artigenz,False,zeroShot,0.0743801652892562,0.15254237288135594,0.1,9,112,702,50
xp,artigenz,False,zeroShot,0.0,0.0,0.0,0,104,564,1
atlasdb,artigenz,True,fewShot,0.0,0.0,0.0,0,159,234,2
autopsy,artigenz,True,fewShot,0.00909090909090909,1.0,0.018018018018018018,1,109,204,0
bazel,artigenz,True,fewShot,0.009708737864077669,0.3,0.018808777429467086,3,306,626,7
