project,algorithm_metric,auc,accuracy,precision,recall,f1,tp,fp,tn,fn
atlasdb,CNB with anti-pattern metrics,0.9541984732824428,0.8025316455696202,0.025,1.0,0.04878048780487805,2,78,315,0
atlasdb,CNB without_anti-pattern_metrics,0.9541984732824428,0.8,0.024691358024691357,1.0,0.04819277108433735,2,79,314,0
atlasdb,LR with anti-pattern metrics,0.8893129770992366,0.8405063291139241,0.03076923076923077,1.0,0.05970149253731343,2,63,330,0
atlasdb,LR without_anti-pattern_metrics,0.8944020356234097,0.8455696202531645,0.031746031746031744,1.0,0.06153846153846154,2,61,332,0
atlasdb,DT with anti-pattern metrics,0.7379134860050891,0.9620253164556962,0.06666666666666667,0.5,0.11764705882352941,1,14,379,1
atlasdb,DT without_anti-pattern_metrics,0.7162849872773537,0.8683544303797468,0.019230769230769232,0.5,0.037037037037037035,1,51,342,1
atlasdb,MLP with anti-pattern metrics,0.6374045801526718,0.9949367088607595,0.0,0.0,0.0,0,0,393,2
atlasdb,MLP without_anti-pattern_metrics,0.45674300254452926,0.9949367088607595,0.0,0.0,0.0,0,0,393,2
atlasdb,SVM with anti-pattern metrics,0.8638676844783715,0.789873417721519,0.023529411764705882,1.0,0.04597701149425287,2,83,310,0
atlasdb,SVM without_anti-pattern_metrics,0.8651399491094147,0.7924050632911392,0.023809523809523808,1.0,0.046511627906976744,2,82,311,0
atlasdb,RF with anti-pattern metrics,0.8333333333333333,0.9949367088607595,0.0,0.0,0.0,0,0,393,2
atlasdb,RF without_anti-pattern_metrics,0.8759541984732824,0.9949367088607595,0.0,0.0,0.0,0,0,393,2
autopsy,CNB with anti-pattern metrics,0.9776357827476038,0.9044585987261147,0.03225806451612903,1.0,0.0625,1,30,283,0
autopsy,CNB without_anti-pattern_metrics,0.9808306709265175,0.9203821656050956,0.038461538461538464,1.0,0.07407407407407407,1,25,288,0
autopsy,LR with anti-pattern metrics,0.9584664536741214,0.964968152866242,0.0,0.0,0.0,0,10,303,1
autopsy,LR without_anti-pattern_metrics,0.9616613418530351,0.9681528662420382,0.0,0.0,0.0,0,9,304,1
autopsy,DT with anti-pattern metrics,0.5,0.9968152866242038,0.0,0.0,0.0,0,0,313,1
autopsy,DT without_anti-pattern_metrics,0.5,0.9968152866242038,0.0,0.0,0.0,0,0,313,1
autopsy,MLP with anti-pattern metrics,0.16613418530351443,0.9968152866242038,0.0,0.0,0.0,0,0,313,1
autopsy,MLP without_anti-pattern_metrics,0.1565495207667732,0.9968152866242038,0.0,0.0,0.0,0,0,313,1
autopsy,SVM with anti-pattern metrics,0.9680511182108626,0.9681528662420382,0.09090909090909091,1.0,0.16666666666666666,1,10,303,0
autopsy,SVM without_anti-pattern_metrics,0.9680511182108626,0.9681528662420382,0.09090909090909091,1.0,0.16666666666666666,1,10,303,0
autopsy,RF with anti-pattern metrics,0.4057507987220447,0.9968152866242038,0.0,0.0,0.0,0,0,313,1
autopsy,RF without_anti-pattern_metrics,0.840255591054313,0.9968152866242038,0.0,0.0,0.0,0,0,313,1
bazel,CNB with anti-pattern metrics,0.713412017167382,0.8290870488322718,0.01910828025477707,0.3,0.03592814371257485,3,154,778,7
bazel,CNB without_anti-pattern_metrics,0.713412017167382,0.8290870488322718,0.01910828025477707,0.3,0.03592814371257485,3,154,778,7
bazel,LR with anti-pattern metrics,0.5275751072961372,0.861995753715499,0.016129032258064516,0.2,0.029850746268656716,2,122,810,8
bazel,LR without_anti-pattern_metrics,0.5275751072961372,0.861995753715499,0.016129032258064516,0.2,0.029850746268656716,2,122,810,8
bazel,DT with anti-pattern metrics,0.5832081545064378,0.921443736730361,0.029411764705882353,0.2,0.05128205128205128,2,66,866,8
bazel,DT without_anti-pattern_metrics,0.5832081545064378,0.921443736730361,0.029411764705882353,0.2,0.05128205128205128,2,66,866,8
